paper_id,evidence_id,claim_id,raw_quote,source_locator,locator_type,locator_confidence,support_role,support_source_bucket,final_strength,verified_locator_quality,human_label
9zEBK3E9bX,evidence-first-support-1-turn-2,claim-2,"We discuss the proposed SPOT in detail. As shown in Fig. 2, SPOT contains four parts: (a) Augmentations on LiDAR point clouds. (b) Encoder for LiDAR point clouds to generate BEV features, which are pr",Fig. 2,figure,0.9,empirical_result,table_or_figure,strong,,
9zEBK3E9bX,evidence-first-support-2-turn-5,claim-1,"We discuss the proposed SPOT in detail. As shown in Fig. 2, SPOT contains four parts: (a) Augmentations on LiDAR point clouds. (b) Encoder for LiDAR point clouds to generate BEV features, which are pr",Fig. 2,figure,0.9,empirical_result,table_or_figure,strong,,
QAAsnSRwgu,evidence-first-support-1-turn-2,claim-2,![](images/edfd59553c38209e69c287477b35bab7412e90568d2cdc53d37b9ce81dc2daa1.jpg) Figure 1: HIVE modular architecture. Each different model version is represented as a separate vertex within the C-KG. ,Figure 1,figure,0.9,empirical_result,table_or_figure,strong,,
QAAsnSRwgu,evidence-negative-quote-bank-quote-negative-or-gap-1-1,claim-2,"Note that we do not evaluate the quality of the output, that is we do not judge if the output is accurate but only focus on whether the expected task has been performed.",Limitation / Gap / Negative evidence excerpt #1,generic,0.0,paper_evidence,limitation_or_gap,missing,,
QAAsnSRwgu,evidence-first-support-3-turn-5,claim-1,![](images/edfd59553c38209e69c287477b35bab7412e90568d2cdc53d37b9ce81dc2daa1.jpg) Figure 1: HIVE modular architecture. Each different model version is represented as a separate vertex within the C-KG. ,Figure 1,figure,0.9,empirical_result,table_or_figure,strong,,
WLgbjzKJkk,evidence-first-support-1-turn-2,claim-2,"Component Evaluation of CO-MOT. Based on the results shown in Table3a, we examine the impact of different components of the CO-MOT framework on tracking performance, as evaluated on the DanceTrack val",Table3,generic,0.0,empirical_result,table_or_figure,medium,,
WLgbjzKJkk,evidence-first-support-2-turn-5,claim-1,"Component Evaluation of CO-MOT. Based on the results shown in Table3a, we examine the impact of different components of the CO-MOT framework on tracking performance, as evaluated on the DanceTrack val",Table3,generic,0.0,empirical_result,table_or_figure,medium,,
WNxlJJIEVj,evidence-first-support-1-turn-2,claim-2,"\caption{The average normalized score of CDiffuser and baseline methods on various datasets of Halfcheetah mixed with different ratios of expert data, with $\pm$ denoting the standard deviation.",Table/Figure excerpt #2,generic,0.0,empirical_result,table_or_figure,strong,,
WNxlJJIEVj,evidence-first-support-2-turn-5,claim-1,\centering \includegraphics[width=0.9\textwidth]{figs/framework_updated.pdf} \caption{The overall framework of CDiffuser. CDiffuser is composed of two modules: the Planning Module and the Contrastive ,Table/Figure excerpt #1,generic,0.0,empirical_result,table_or_figure,strong,,
WNxlJJIEVj,evidence-first-support-3-turn-7,claim-3,"As is illustrated in \cref{fig:framework}, Our CDiffuser is composed of two modules: (1) the Planning Module, which aims to generate subsequent trajectories; (2) the Contrastive Module, which is desig",Table/Figure excerpt #2,generic,0.0,empirical_result,table_or_figure,strong,,
